run_id,stage,stub,task_id,n_cells,directional_agreement,spearman_rho,pearson_r,pearson_r_within_outcomes,rmse_pp,r_adj,rmse_adj,cal_alpha,cal_beta,shrinkage_factor,vs_no_effect_floor_directional,vs_no_effect_floor_rmse,vs_all_positive_directional,vs_all_positive_rmse,leak_verdict,note,parser_version
20260815-dryrun-04,dryrun-stub,True,goldwert2026,204,0.6421568627450981,0.0385138129557429,0.0534112555731995,0.0377540128253936,3.291503440235996,0.0635649172755673,2.896587478147607,1.9055247150854688,0.1687045773430954,1.1209447283945602,0.1421568627450981,0.214222872760128,-0.1421568627450979,-0.2449695175056785,CLEAN,"whole, 1 part(s), 17036 tok; in_slope=False; positive_control=LEAK",unverified
20260815-dryrun-04,dryrun-stub,True,vlasceanu2024,165,0.6515151515151515,0.0840615407874394,0.093537951581454,0.0584388822204355,4.2895696905188165,0.1193417480768568,3.853676444648176,3.394895294457323,0.3057078923242488,1.966266224228713,0.1515151515151515,0.3929166420930023,-0.2818181818181818,-0.3176211529860713,CLEAN,"whole, 1 part(s), 5880 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-04,dryrun-stub,True,bbprime2025,408,0.5612745098039216,0.071609971417681,0.0084573144589905,0.05313810893957,3.316805875472661,0.0097646163663507,2.9129150756390354,0.9590958878797116,0.0294859625414793,0.4985077086642435,0.0612745098039215,-0.0005102732890684,-0.017156862745098,-0.1471182097053818,CLEAN,"whole, 1 part(s), 17447 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-04,dryrun-stub,True,voelkel2024,234,0.376068376068376,-0.1078420629658872,-0.1307592264836486,-0.0725402295376206,2.8312708226020376,-0.1404819716483898,2.7257657055113382,-0.8723106262241812,-0.3127031103001242,-0.7500703199079666,-0.1239316239316239,-0.4993496212762802,0.047008547008547,0.0852073326059064,CLEAN,"split, 2 part(s), 34303 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-05,dryrun-stub,True,voelkel2026,90,0.6,-0.1036973622330937,-0.0907995613604575,-0.2135680526442044,1.8602400762696256,-0.1333543091013151,1.532874841349709,1.2821327219978904,-0.1498995929699934,0.5143358517079639,0.0999999999999999,0.0080269082741442,-0.2222222222222222,-0.4151515602635287,CLEAN,"whole, 1 part(s), 7626 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-05,dryrun-stub,True,goldwert2026,204,0.6421568627450981,0.0385138129557429,0.0534112555731995,0.0377540128253936,3.291503440235996,0.0635649172755673,2.896587478147607,1.9055247150854688,0.1687045773430954,1.1209447283945602,0.1421568627450981,0.214222872760128,-0.1421568627450979,-0.2449695175056785,CLEAN,"whole, 1 part(s), 17036 tok; in_slope=False; positive_control=LEAK",unverified
20260815-dryrun-05,dryrun-stub,True,vlasceanu2024,165,0.6515151515151515,0.0840615407874394,0.093537951581454,0.0584388822204355,4.2895696905188165,0.1193417480768568,3.853676444648176,3.394895294457323,0.3057078923242488,1.966266224228713,0.1515151515151515,0.3929166420930023,-0.2818181818181818,-0.3176211529860713,CLEAN,"whole, 1 part(s), 5880 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-05,dryrun-stub,True,bbprime2025,408,0.5612745098039216,0.071609971417681,0.0084573144589905,0.05313810893957,3.316805875472661,0.0097646163663507,2.9129150756390354,0.9590958878797116,0.0294859625414793,0.4985077086642435,0.0612745098039215,-0.0005102732890684,-0.017156862745098,-0.1471182097053818,CLEAN,"whole, 1 part(s), 17447 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-05,dryrun-stub,True,voelkel2024,234,0.376068376068376,-0.1078420629658872,-0.1307592264836486,-0.0725402295376206,2.8312708226020376,-0.1404819716483898,2.7257657055113382,-0.8723106262241812,-0.3127031103001242,-0.7500703199079666,-0.1239316239316239,-0.4993496212762802,0.047008547008547,0.0852073326059064,CLEAN,"split, 2 part(s), 34303 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-06,dryrun-stub,True,voelkel2026,90,0.6,-0.1036973622330937,-0.0907995613604575,-0.2135680526442044,1.8602400762696256,-0.1333543091013151,1.532874841349709,1.2821327219978904,-0.1498995929699934,0.5143358517079639,0.0999999999999999,0.0080269082741442,-0.2222222222222222,-0.4151515602635287,CLEAN,"whole, 1 part(s), 7626 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-06,dryrun-stub,True,goldwert2026,204,0.6421568627450981,0.0385138129557429,0.0534112555731995,0.0377540128253936,3.291503440235996,0.0635649172755673,2.896587478147607,1.9055247150854688,0.1687045773430954,1.1209447283945602,0.1421568627450981,0.214222872760128,-0.1421568627450979,-0.2449695175056785,CLEAN,"whole, 1 part(s), 17036 tok; in_slope=False; positive_control=LEAK",unverified
20260815-dryrun-06,dryrun-stub,True,vlasceanu2024,165,0.6515151515151515,0.0840615407874394,0.093537951581454,0.0584388822204355,4.2895696905188165,0.1193417480768568,3.853676444648176,3.394895294457323,0.3057078923242488,1.966266224228713,0.1515151515151515,0.3929166420930023,-0.2818181818181818,-0.3176211529860713,CLEAN,"whole, 1 part(s), 5880 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-06,dryrun-stub,True,bbprime2025,408,0.5612745098039216,0.071609971417681,0.0084573144589905,0.05313810893957,3.316805875472661,0.0097646163663507,2.9129150756390354,0.9590958878797116,0.0294859625414793,0.4985077086642435,0.0612745098039215,-0.0005102732890684,-0.017156862745098,-0.1471182097053818,CLEAN,"whole, 1 part(s), 17442 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-06,dryrun-stub,True,voelkel2024,234,0.376068376068376,-0.1078420629658872,-0.1307592264836486,-0.0725402295376206,2.8312708226020376,-0.1404819716483898,2.7257657055113382,-0.8723106262241812,-0.3127031103001242,-0.7500703199079666,-0.1239316239316239,-0.4993496212762802,0.047008547008547,0.0852073326059064,CLEAN,"split, 2 part(s), 34308 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-07,dryrun-stub,True,voelkel2026,90,0.6,-0.1036973622330937,-0.0907995613604575,-0.2135680526442044,1.8602400762696256,-0.1333543091013151,1.532874841349709,1.2821327219978904,-0.1498995929699934,0.5143358517079639,0.0999999999999999,0.0080269082741442,-0.2222222222222222,-0.4151515602635287,CLEAN,"whole, 1 part(s), 7626 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-07,dryrun-stub,True,goldwert2026,204,0.6421568627450981,0.0385138129557429,0.0534112555731995,0.0377540128253936,3.291503440235996,0.0635649172755673,2.896587478147607,1.9055247150854688,0.1687045773430954,1.1209447283945602,0.1421568627450981,0.214222872760128,-0.1421568627450979,-0.2449695175056785,CLEAN,"whole, 1 part(s), 17036 tok; in_slope=False; positive_control=LEAK",unverified
20260815-dryrun-07,dryrun-stub,True,vlasceanu2024,165,0.6515151515151515,0.0840615407874394,0.093537951581454,0.0584388822204355,4.2895696905188165,0.1193417480768568,3.853676444648176,3.394895294457323,0.3057078923242488,1.966266224228713,0.1515151515151515,0.3929166420930023,-0.2818181818181818,-0.3176211529860713,CLEAN,"whole, 1 part(s), 5880 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-07,dryrun-stub,True,bbprime2025,408,0.5612745098039216,0.071609971417681,0.0084573144589905,0.05313810893957,3.316805875472661,0.0097646163663507,2.9129150756390354,0.9590958878797116,0.0294859625414793,0.4985077086642435,0.0612745098039215,-0.0005102732890684,-0.017156862745098,-0.1471182097053818,CLEAN,"whole, 1 part(s), 17442 tok; in_slope=True; positive_control=LEAK",unverified
20260815-dryrun-07,dryrun-stub,True,voelkel2024,234,0.376068376068376,-0.1078420629658872,-0.1307592264836486,-0.0725402295376206,2.8312708226020376,-0.1404819716483898,2.7257657055113382,-0.8723106262241812,-0.3127031103001242,-0.7500703199079666,-0.1239316239316239,-0.4993496212762802,0.047008547008547,0.0852073326059064,CLEAN,"split, 2 part(s), 34308 tok; in_slope=True; positive_control=LEAK",unverified
20260815-rehearsal-01,rehearsal,True,voelkel2026,90,0.5555555555555556,-0.1964661286690209,-0.2180220240446765,-0.1972278601477042,2.0937880667605584,-0.3202017272961157,1.8091878306002915,1.3814984793001497,-0.2704168417494241,0.2484935561762473,0.0555555555555555,-0.2255210822167883,-0.2666666666666666,-0.6486995507544613,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-01,rehearsal,True,goldwert2026,204,0.625,0.0567029618128648,0.0912655921158973,0.1175582622780385,3.3083487766073074,0.1086154921971845,2.9157153066023414,1.8640865200447825,0.2168079539251531,0.8568270058798381,0.125,0.1973775363888164,-0.159313725490196,-0.2618148538769902,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=False; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-01,rehearsal,True,vlasceanu2024,165,0.5818181818181818,-0.0248583933227137,0.0197830965468758,0.1041929325988339,4.518829985535427,0.0252405497914014,4.107339582794759,3.5539138798140346,0.0518755780691508,1.0052658160608157,0.0818181818181817,0.1636563470763921,-0.3515151515151515,-0.5468814480026816,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-01,rehearsal,True,bbprime2025,408,0.4963235294117647,-0.0492205411475534,-0.0369667199319632,-0.0397486242612263,3.437484806148231,-0.0426809054113187,3.049618798278752,1.0318416738483662,-0.1018886366617241,0.2487435062640084,-0.0036764705882352,-0.1211892039646378,-0.0821078431372549,-0.2677971403809511,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-01,rehearsal,True,voelkel2024,234,0.4273504273504273,0.0239731215639224,-0.0019334227390153,0.0568258389224487,2.906867528009925,-0.0020771844994102,2.8042080942438345,-1.0319626681685443,-0.0034020718545123,-0.352033135188812,-0.0726495726495726,-0.5749463266841679,0.0982905982905982,0.0096106271980187,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; split, 2 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
20260815-rehearsal-02,rehearsal,True,voelkel2026,90,0.5555555555555556,-0.1964661286690209,-0.2180220240446765,-0.1972278601477042,2.0937880667605584,-0.3202017272961157,1.8091878306002915,1.3814984793001497,-0.2704168417494241,0.2484935561762473,0.0555555555555555,-0.2255210822167883,-0.2666666666666666,-0.6486995507544613,CLEAN,"REHEARSAL scripted answers - NOT a prediction; model=rehearsal-model-v1; draws=2; whole, 1 part(s); in_slope=True; positive_control=LEAK; recognition=UNRECOGNISED",959d53386514
